name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
maggie,2017-03-02 11:39:41.176000,4,158,343,372,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,162,291,403,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,167,347,466,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,172,295,375,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,175,173,295,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,177,267,289,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,179,410,442,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,180,364,555,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,184,363,501,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,185,115,264,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,197,501,506,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,198,381,476,0,water,4,None,0
maggie,2017-03-02 11:39:41.176000,4,199,441,465,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,200,249,303,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,4,203,183,337,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,4,209,253,326,1,water,4,None,0
maggie,2017-03-02 11:39:41.176000,4,211,52,183,0,water,4,None,0
maggie,2017-03-09 10:35:20.554000,2,112,388,396,1,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,113,396,464,0,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,114,449,475,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,115,464,520,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,116,365,429,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,117,429,483,0,glass,1,None,0
maggie,2017-03-09 10:35:20.554000,2,118,116,307,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,119,307,348,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,120,348,449,1,glass,3,None,0
maggie,2017-03-09 10:35:20.554000,2,121,423,460,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,122,136,199,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,123,368,438,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,124,438,489,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,125,361,423,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,126,460,554,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,127,87,266,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,128,210,232,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,129,277,314,1,glass,3,None,0
maggie,2017-03-09 10:35:20.554000,2,130,266,388,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,131,314,336,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,132,111,305,0,glass,3,None,0
maggie,2017-03-09 10:35:20.554000,2,133,87,266,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,134,471,533,1,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,135,355,399,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,136,61,263,0,glass,3,None,0
maggie,2017-03-09 10:35:20.554000,2,137,72,256,0,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,138,358,411,0,glass,1,None,0
maggie,2017-03-09 10:35:20.554000,2,139,411,491,1,glass,7,None,0
maggie,2017-03-09 10:35:20.554000,2,140,491,549,1,glass,7,None,0
maggie,2017-03-09 10:35:20.554000,2,141,549,556,0,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,142,63,251,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,143,101,284,1,glass,3,None,0
maggie,2017-03-09 10:35:20.554000,2,144,284,321,1,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,145,321,427,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,146,427,471,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,147,533,566,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,148,56,235,0,glass,7,None,0
maggie,2017-03-09 10:35:20.554000,2,149,235,379,0,glass,6,None,0
maggie,2017-03-09 10:35:20.554000,2,150,379,406,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,151,406,496,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,152,277,314,0,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,153,314,336,1,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,154,336,445,1,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,155,215,226,0,glass,5,None,0
maggie,2017-03-09 10:35:20.554000,2,156,226,355,0,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,157,399,498,1,glass,4,None,0
maggie,2017-03-09 10:35:20.554000,2,158,263,324,1,glass,7,None,0
maggie,2017-03-09 10:35:20.554000,1,1,70,166,0,zipper,1,None,0
maggie,2017-03-09 10:35:20.554000,1,2,366,468,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,3,294,366,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,4,257,294,0,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,5,174,257,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,6,443,461,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,7,342,443,0,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,8,218,342,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,9,146,218,0,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,10,139,146,1,zipper,2,None,0
maggie,2017-03-09 10:35:20.554000,1,11,392,453,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,12,322,392,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,13,141,177,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,14,241,322,1,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,15,89,154,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,16,338,377,1,zipper,7,None,0
maggie,2017-03-09 10:35:20.554000,1,17,223,338,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,18,198,223,0,zipper,6,None,0
maggie,2017-03-09 10:35:20.554000,1,19,117,198,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,20,283,415,1,zipper,4,None,0
maggie,2017-03-09 10:35:20.554000,1,21,227,283,0,zipper,5,None,0
