message_id,category,seed_id,branch_id_list,generation,audio
287,tear,38,"[5, 60]",3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/287.wav
288,zipper,49,"[17, 37]",4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/288.wav
289,water,45,[74],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/289.wav
290,zipper,46,[26],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/290.wav
291,water,43,[70],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/291.wav
292,tear,39,[2],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/292.wav
293,glass,36,[98],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/293.wav
294,zipper,47,[33],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/294.wav
295,water,42,"[50, 69]",3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/295.wav
296,tear,38,[11],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/296.wav
297,glass,36,[99],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/297.wav
298,tear,38,"[5, 60]",4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/298.wav
299,zipper,46,[8],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/299.wav
300,water,44,[43],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/300.wav
301,glass,35,[56],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/301.wav
302,tear,39,[19],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/302.wav
303,water,43,[59],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/303.wav
304,tear,39,[2],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/304.wav
305,glass,36,[53],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/305.wav
306,zipper,48,[6],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/306.wav
307,glass,34,[52],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/307.wav
308,tear,38,[0],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/308.wav
309,zipper,48,[76],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/309.wav
310,water,42,[65],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/310.wav
311,tear,41,[9],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/311.wav
312,water,44,[51],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/312.wav
313,zipper,49,[23],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/313.wav
314,glass,36,"[40, 82]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/314.wav
315,water,42,"[45, 75]",3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/315.wav
316,tear,40,[1],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/316.wav
317,glass,35,[44],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/317.wav
318,zipper,46,"[10, 36]",4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/318.wav
319,tear,40,[28],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/319.wav
320,tear,40,[7],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/320.wav
321,glass,34,[27],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/321.wav
322,zipper,46,[31],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/322.wav
323,water,44,[47],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/323.wav
324,glass,35,[85],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/324.wav
325,zipper,48,[34],4,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/325.wav
326,water,43,[64],3,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/326.wav
