,sound_x,sound_y,similarity
227,87,197,0.019284610299180244
228,87,198,0.018852674667676612
229,87,200,0.01838640911448316
230,87,202,0.01773651588560519
231,87,203,0.024419870692033645
232,87,206,0.017925671427049122
233,87,207,0.022520208471954985
234,87,211,0.018982739813643998
235,87,216,0.017905934352954688
236,87,217,0.018961394598597987
237,87,222,0.015492586049886868
238,87,225,0.016610431947032395
239,87,228,0.013014002364727427
240,87,231,0.015462837162973385
241,87,234,0.017490488825923398
242,87,246,0.019608179980474955
243,87,249,0.005622756009114481
244,87,253,0.01847029634332833
245,87,258,0.012009676731400215
246,87,264,0.015820245622654706
247,87,267,0.010926886015258926
248,87,536,0.02235163472290344
249,87,539,0.022247006018588755
250,101,146,0.016147432982478997
251,101,150,0.015755465997021326
252,101,154,0.015531512938487669
253,101,155,0.0169537848628037
254,101,158,0.01683078303410196
255,101,161,0.013004066058305813
256,101,162,0.0145025091351624
257,101,163,0.01249876599734344
258,101,165,0.015519433949898366
259,101,166,0.013573540871784407
260,101,167,0.01430623134793372
261,101,173,0.019846792800225516
262,101,174,0.020323925101613464
263,101,175,0.014289322534901209
264,101,176,0.019171589710530932
265,101,177,0.01886050806166129
266,101,179,0.016799544913053542
267,101,181,0.01042765034691327
268,101,182,0.014599332239651468
269,101,183,0.014313023080740981
270,101,184,0.018552819556636558
271,101,185,0.016197172230152726
272,101,187,0.020101961280770683
273,101,189,0.01549032866124584
274,101,191,0.018392304644070927
275,101,193,0.020087339237334682
276,101,196,0.012894217537447293
277,101,197,0.01785133038701097
278,101,198,0.016518521148272722
279,101,200,0.016762988827312437
280,101,202,0.016045286324973644
281,101,203,0.022246954906793133
282,101,206,0.017304123295556518
283,101,207,0.0172944974072369
284,101,211,0.018872055884303088
285,101,216,0.016049382147483228
286,101,217,0.017452064971028414
287,101,222,0.014433555591184241
288,101,225,0.016889711219434583
289,101,228,0.014281698696877941
290,101,231,0.01632672622210073
291,101,234,0.016423992137503264
292,101,246,0.01692540021886401
293,101,249,0.0056566753710041795
294,101,253,0.018899706298576232
295,101,258,0.012466536883370469
296,101,264,0.014574292259602318
297,101,267,0.011327049380084669
298,101,536,0.02047444887686519
299,101,539,0.019468017528366008
300,111,146,0.009441971333187159
